run,start_utc,arm,topology,router,conc,dur_s,requests,good_requests,out_tok_s,out_tok_s_per_gpu,req_s,ttft_p50_s,ttft_p90_s,ttft_p95_s,ttft_p99_s,itl_avg_ms,isl_avg,osl_avg,errors,protocol,validity
1786944977_alisachen-sgl-disagg72-rr-bench,2026-08-17 05:36,RR,6P:12D,round-robin,192,1859,2594.0,27.0,1113,15.5,1.39,204.86,313.2,344.61,397.69,8.0,48503,802,0,"ladder v1 (single frontend), 1800s/pt","post-rebuild, GDR bypass ON"
1786944977_alisachen-sgl-disagg72-rr-bench,2026-08-17 05:36,RR,6P:12D,round-robin,288,1859,2764.0,23.0,1123,15.6,1.48,289.49,412.46,441.67,479.07,8.0,46582,760,0,"ladder v1 (single frontend), 1800s/pt","post-rebuild, GDR bypass ON"
1786944977_alisachen-sgl-disagg72-rr-bench,2026-08-17 05:36,RR,6P:12D,round-robin,384,1860,2302.0,14.0,904,12.6,1.23,303.66,542.14,620.65,672.86,8.0,44260,735,242,"ladder v1 (single frontend), 1800s/pt","post-rebuild, GDR bypass ON"
1786944977_alisachen-sgl-disagg72-rr-bench,2026-08-17 05:36,RR,6P:12D,round-robin,96,1860,2039.0,9.0,1074,14.9,1.1,92.91,181.75,214.12,276.42,11.1,60634,979,0,"ladder v1 (single frontend), 1800s/pt","post-rebuild, GDR bypass ON"
1786955823_alisachen-sgl-disagg72-kv-bench,2026-08-17 08:37,KV,6P:12D,kv defaults,192,1860,2645.0,16.0,1145,15.9,1.41,212.79,290.57,299.92,312.0,8.3,48992,810,0,"ladder v1 (single frontend), 1800s/pt; c384 missing (job Error: all reqs failed)","post-rebuild, GDR bypass ON; router-state stall suspected"
1786955823_alisachen-sgl-disagg72-kv-bench,2026-08-17 08:37,KV,6P:12D,kv defaults,288,1860,2051.0,0.0,785,10.9,1.1,323.31,496.3,501.36,509.64,7.9,43578,716,0,"ladder v1 (single frontend), 1800s/pt; c384 missing (job Error: all reqs failed)","post-rebuild, GDR bypass ON; router-state stall suspected"
1786955823_alisachen-sgl-disagg72-kv-bench,2026-08-17 08:37,KV,6P:12D,kv defaults,96,1859,2168.0,1.0,1120,15.6,1.17,101.56,157.12,173.82,207.81,10.8,60910,961,0,"ladder v1 (single frontend), 1800s/pt; c384 missing (job Error: all reqs failed)","post-rebuild, GDR bypass ON; router-state stall suspected"
1786970675_alisachen-sgl-d72-flagsweep,2026-08-17 12:44,KV,6P:12D,kv + --router-prefill-load-scale 2.0,192,959,1701.0,26.0,1288,17.9,1.75,167.53,211.74,220.69,246.47,8.5,42580,734,0,"flag sweep, warm workers, 900s",frontend RS rev 4 @12:37Z
1786972787_alisachen-sgl-d72-flagsweep,2026-08-17 13:19,KV,6P:12D,kv + --router-prefill-load-scale 3.0,192,960,1636.0,32.0,1236,17.2,1.69,167.0,220.96,234.87,259.05,8.4,44220,733,0,"flag sweep, warm workers, 900s",frontend RS rev 5 @13:07Z
1786974821_alisachen-sgl-d72-flagsweep,2026-08-17 13:53,KV,6P:12D,kv + --router-kv-overlap-score-credit 0.8,192,959,1697.0,19.0,1308,18.2,1.75,168.39,219.18,229.55,248.01,8.4,42819,747,0,"flag sweep, warm workers, 900s",frontend RS rev 6 @13:44Z
1786976717_alisachen-sgl-d72-flagsweep,2026-08-17 14:25,KV,6P:12D,kv + credit 1.0 + --router-kv-overlap-score-credit-decay 0.8,192,957,1709.0,27.0,1320,18.3,1.76,170.29,217.53,230.19,255.17,8.6,42679,749,0,"flag sweep, warm workers, 900s",frontend RS rev 7 @14:17Z
1786978690_alisachen-sgl-d72-flagsweep,2026-08-17 14:58,KV,6P:12D,kv + --router-temperature 0.5,192,959,1658.0,26.0,1269,17.6,1.71,173.3,223.25,232.11,252.98,8.0,42255,742,0,"flag sweep, warm workers, 900s",frontend RS rev 8 @14:50Z
1786980665_alisachen-sgl-d72-flagsweep,2026-08-17 15:31,KV,6P:12D,kv defaults (temp 0 / fcfs),192,959,1730.0,28.0,1313,18.2,1.78,165.84,217.48,229.06,259.11,8.7,42815,736,0,"flag sweep, warm workers, 900s",defaults re-run; RS d54987997 re-adopted as rev 9 (inferred)
1786992066_alisachen-sgl-d72-kv-p192,2026-08-17 18:41,KV,6P:12D,kv defaults,192,1859,2844.0,28.0,1232,17.1,1.52,202.05,263.18,271.47,282.68,8.4,50295,810,0,"ladder v2: fresh frontend per point, 300s settle, 1800s",CANONICAL
1786995068_alisachen-sgl-d72-kv-p288,2026-08-17 19:31,KV,6P:12D,kv defaults,288,1859,2924.0,30.0,1227,17.0,1.56,295.05,352.38,360.79,371.09,8.2,48154,784,0,"ladder v2: fresh frontend per point, 300s settle, 1800s",CANONICAL
1786997955_alisachen-sgl-d72-kv-p384,2026-08-17 20:19,KV,6P:12D,kv defaults,384,1860,3129.0,31.0,1254,17.4,1.67,373.99,451.1,465.42,485.51,8.3,45273,749,0,"ladder v2: fresh frontend per point, 300s settle, 1800s",CANONICAL
1787002681_alisachen-sgl-d72-rr-p12,2026-08-17 21:38,RR,6P:12D,round-robin,12,1858,1346.0,150.0,655,9.1,0.72,13.2,41.31,51.19,79.56,10.5,80990,905,0,"down-sweep: fresh frontend per point, 240s settle, 1800s",CANONICAL
1787006166_alisachen-sgl-d72-rr-p24,2026-08-17 22:36,RR,6P:12D,round-robin,24,1850,1533.0,80.0,850,11.8,0.82,23.63,62.01,78.85,118.53,8.2,85304,1032,0,"down-sweep: fresh frontend per point, 240s settle, 1800s",CANONICAL
1787008942_alisachen-sgl-d72-rr-p48,2026-08-17 23:22,RR,6P:12D,round-robin,48,1860,1706.0,47.0,880,12.2,0.92,47.01,123.19,162.34,247.56,8.1,77245,959,0,"down-sweep: fresh frontend per point, 240s settle, 1800s",CANONICAL
1787011705_alisachen-sgl-d72-rr-p72,2026-08-18 00:08,RR,6P:12D,round-robin,72,1859,1983.0,35.0,1080,15.0,1.07,63.93,134.88,208.23,326.28,8.2,68020,1013,0,"down-sweep: fresh frontend per point, 240s settle, 1800s",CANONICAL
1787043438_alisachen-sgl-d72-9x9-kv-c240,2026-08-18 08:57,KV,9P:8D,kv defaults,192,960,1666.0,0.0,1257,17.5,1.72,163.73,226.83,238.99,270.94,12.8,42533,732,0,"9x9 topology probe (decode at 8 replicas), 900s",exploratory
1787072770_alisachen-sgl-d72-9x9-kv-c240,2026-08-18 17:06,KV,9P:8D,kv defaults,240,1860,2790.0,29.0,1192,16.6,1.49,242.26,331.37,356.5,401.67,9.6,48204,799,0,"9x9 topology probe (decode at 8 replicas), 1800s",exploratory
