model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,80,3.835,1,1,1,5,20,4,341.073,17.462,19531.811,0.0,3.835,0.226,4218.016,248.119,57.268,5.277,1.042,17,1,1,1,1,8,8,tp1pp1dp1etp1ep8cp8,nvfp4,fp8,bfloat16,nvfp4,half,90.398,sglang,0.5.10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,174.076,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,175.75095833333333
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,64,3.312,1,1,1,4,16,4,341.073,16.17,18111.903,0.0,3.312,0.195,3643.2,214.306,61.845,5.277,0.9,17,1,1,1,1,8,8,tp1pp1dp1etp1ep8cp8,nvfp4,fp8,bfloat16,nvfp4,half,90.398,sglang,0.5.10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,169.557,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,151.80008333333333
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,48,2.616,1,1,1,3,12,4,341.073,15.368,17230.505,0.0,2.616,0.154,2878.128,169.302,65.072,5.277,0.711,17,1,1,1,1,8,8,tp1pp1dp1etp1ep8cp8,nvfp4,fp8,bfloat16,nvfp4,half,90.398,sglang,0.5.10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,165.038,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,119.92225
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,40,2.314,1,1,1,2,8,5,633.071,14.48,16546.591,0.0,2.314,0.11,2545.18,121.199,69.06,2.843,0.503,21,1,1,1,1,4,4,tp1pp1dp1etp1ep4cp4,nvfp4,fp8,bfloat16,nvfp4,half,158.319,sglang,0.5.10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,160.519,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,106.049125
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,20,1.32,1,1,1,1,4,5,633.071,12.669,14556.302,0.0,1.32,0.063,1452.22,69.153,78.935,2.843,0.287,21,1,1,1,1,4,4,tp1pp1dp1etp1ep4cp4,nvfp4,fp8,bfloat16,nvfp4,half,158.319,sglang,0.5.10,gb300,1,1,4,1,4,tp1pp1dp4etp1ep4,nvfp4,fp8,fp8,nvfp4,half,156.0,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,60.50887500000001
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,15,1.021,1,1,1,3,3,5,638.204,12.28,14133.924,0.0,1.021,0.043,1123.32,46.805,81.433,2.82,0.222,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,150.963,sglang,0.5.10,gb300,4,1,1,1,4,tp4pp1dp1etp1ep4,nvfp4,fp8,fp8,nvfp4,half,158.603,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,46.805
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,10,0.777,1,1,1,2,2,5,638.204,10.758,12461.246,0.0,0.777,0.032,855.14,35.631,92.954,2.82,0.169,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,150.963,sglang,0.5.10,gb300,4,1,1,1,4,tp4pp1dp1etp1ep4,nvfp4,fp8,fp8,nvfp4,half,154.084,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,35.631
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,6,0.478,1,1,1,3,3,2,353.761,10.501,11894.36,0.0,0.478,0.02,526.24,21.927,95.228,5.088,0.26,24,8,1,1,1,8,1,tp8pp1dp1etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,81.906,sglang,0.5.10,gb300,8,1,1,1,8,tp8pp1dp1etp1ep8,nvfp4,fp8,fp8,nvfp4,half,89.914,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,21.927000000000003
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,5,0.451,1,1,1,1,1,5,638.204,9.268,10823.736,0.0,0.451,0.019,495.88,20.662,107.898,2.82,0.098,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,150.963,sglang,0.5.10,gb300,4,1,1,1,4,tp4pp1dp1etp1ep4,nvfp4,fp8,fp8,nvfp4,half,149.565,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,20.662
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,2,0.201,1,1,1,1,1,2,353.761,8.338,9517.223,0.0,0.201,0.008,220.616,9.192,119.933,5.088,0.109,24,8,1,1,1,8,1,tp8pp1dp1etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,81.906,sglang,0.5.10,gb300,8,1,1,1,8,tp8pp1dp1etp1ep8,nvfp4,fp8,fp8,nvfp4,half,80.876,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,9.192
