model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,144,4.035,1,4,2,9,72,2,1383.973,29.878,34219.895,0.0,4.035,0.168,4438.632,184.943,33.469,5.202,2.193,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,2,4,tp1pp1dp8etp2ep4,nvfp4,fp8,fp8,nvfp4,half,123.867,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,184.943
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,140,3.961,1,4,1,7,28,5,1383.973,29.6,33914.373,0.0,3.961,0.165,4356.66,181.528,33.783,5.202,0.861,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,4,2,2,tp1pp1dp4etp2ep2,nvfp4,fp8,fp8,nvfp4,half,182.381,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,181.528
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,120,3.427,1,4,1,6,24,5,1383.973,29.322,33608.851,0.0,3.427,0.143,3769.7,157.071,34.104,5.202,0.745,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,4,1,4,tp1pp1dp4etp1ep4,nvfp4,fp8,fp8,nvfp4,half,177.862,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,157.071
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,112,3.347,1,4,2,7,56,2,1383.973,28.02,32177.953,0.0,3.347,0.139,3681.656,153.402,35.689,5.202,1.819,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,1,8,tp1pp1dp8etp1ep8,nvfp4,fp8,fp8,nvfp4,half,114.829,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,153.402
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,80,2.778,1,4,1,4,16,5,1383.973,24.1,27869.873,0.0,2.778,0.116,3056.24,127.343,41.493,5.202,0.604,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,4,2,2,tp1pp1dp4etp2ep2,nvfp4,fp8,fp8,nvfp4,half,168.824,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,127.343
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,60,2.148,1,4,1,3,12,5,1383.973,23.383,27081.89,0.0,2.148,0.09,2363.02,98.459,42.766,5.202,0.467,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,164.305,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,98.459
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,32,1.343,1,4,2,2,16,2,1383.973,19.93,23287.043,0.0,1.343,0.056,1477.52,61.563,50.175,5.202,0.73,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,2,4,tp1pp1dp8etp2ep4,nvfp4,fp8,fp8,nvfp4,half,92.233,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,61.56300000000001
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,20,0.952,1,4,1,1,4,5,1383.973,17.611,20738.462,0.0,0.952,0.04,1047.42,43.642,56.782,5.202,0.207,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,155.267,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,43.642
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,16,0.769,1,4,2,1,8,2,1383.973,17.407,20514.266,0.0,0.769,0.032,846.032,35.251,57.448,5.202,0.418,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,4,2,tp1pp1dp8etp4ep2,nvfp4,fp8,fp8,nvfp4,half,87.714,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,35.251
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,15,0.759,1,4,1,3,3,5,1383.973,16.524,19543.849,0.0,0.759,0.032,834.9,34.788,60.516,5.202,0.165,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,4,1,1,4,1,tp4pp1dp1etp4ep1,nvfp4,fp8,fp8,nvfp4,half,157.87,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,34.788
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,10,0.575,1,4,1,2,2,5,1383.973,14.554,17378.819,0.0,0.575,0.024,632.5,26.354,68.712,5.202,0.125,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,4,1,1,2,2,tp4pp1dp1etp2ep2,nvfp4,fp8,fp8,nvfp4,half,153.351,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,26.354
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,6,0.348,1,4,2,3,3,2,1383.973,14.449,17263.424,0.0,0.348,0.014,382.536,15.939,69.207,5.202,0.189,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,nvfp4,fp8,fp8,nvfp4,half,89.181,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,15.939
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,5,0.345,1,4,1,1,1,5,1383.973,12.196,14787.377,0.0,0.345,0.014,379.5,15.813,81.997,5.202,0.075,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,4,1,1,2,2,tp4pp1dp1etp2ep2,nvfp4,fp8,fp8,nvfp4,half,148.832,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,15.813
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,2,0.149,1,4,2,1,1,2,1383.973,11.281,13781.792,0.0,0.149,0.006,163.944,6.831,88.648,5.202,0.081,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,8,1,1,2,4,tp8pp1dp1etp2ep4,nvfp4,fp8,fp8,nvfp4,half,80.143,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,6.831
